"state","scenario","year_offset","removed_cum_Tg"
"AL","reserve (no harvest)",0,0
"AL","reserve (no harvest)",10,0
"AL","reserve (no harvest)",20,0
"AL","reserve (no harvest)",30,0
"AL","reserve (no harvest)",40,0
"AL","reserve (no harvest)",50,0
"AL","reserve (no harvest)",60,0
"AL","reserve (no harvest)",70,0
"AL","reserve (no harvest)",80,0
"AL","reserve (no harvest)",90,0
"AL","reserve (no harvest)",100,0
"AR","reserve (no harvest)",0,0
"AR","reserve (no harvest)",10,0
"AR","reserve (no harvest)",20,0
"AR","reserve (no harvest)",30,0
"AR","reserve (no harvest)",40,0
"AR","reserve (no harvest)",50,0
"AR","reserve (no harvest)",60,0
"AR","reserve (no harvest)",70,0
"AR","reserve (no harvest)",80,0
"AR","reserve (no harvest)",90,0
"AR","reserve (no harvest)",100,0
"AZ","reserve (no harvest)",0,0
"AZ","reserve (no harvest)",10,0
"AZ","reserve (no harvest)",20,0
"AZ","reserve (no harvest)",30,0
"AZ","reserve (no harvest)",40,0
"AZ","reserve (no harvest)",50,0
"AZ","reserve (no harvest)",60,0
"AZ","reserve (no harvest)",70,0
"AZ","reserve (no harvest)",80,0
"AZ","reserve (no harvest)",90,0
"AZ","reserve (no harvest)",100,0
"CA","reserve (no harvest)",0,0
"CA","reserve (no harvest)",10,0
"CA","reserve (no harvest)",20,0
"CA","reserve (no harvest)",30,0
"CA","reserve (no harvest)",40,0
"CA","reserve (no harvest)",50,0
"CA","reserve (no harvest)",60,0
"CA","reserve (no harvest)",70,0
"CA","reserve (no harvest)",80,0
"CA","reserve (no harvest)",90,0
"CA","reserve (no harvest)",100,0
"CO","reserve (no harvest)",0,0
"CO","reserve (no harvest)",10,0
"CO","reserve (no harvest)",20,0
"CO","reserve (no harvest)",30,0
"CO","reserve (no harvest)",40,0
"CO","reserve (no harvest)",50,0
"CO","reserve (no harvest)",60,0
"CO","reserve (no harvest)",70,0
"CO","reserve (no harvest)",80,0
"CO","reserve (no harvest)",90,0
"CO","reserve (no harvest)",100,0
"CT","reserve (no harvest)",0,0
"CT","reserve (no harvest)",10,0
"CT","reserve (no harvest)",20,0
"CT","reserve (no harvest)",30,0
"CT","reserve (no harvest)",40,0
"CT","reserve (no harvest)",50,0
"CT","reserve (no harvest)",60,0
"CT","reserve (no harvest)",70,0
"CT","reserve (no harvest)",80,0
"CT","reserve (no harvest)",90,0
"CT","reserve (no harvest)",100,0
"DE","reserve (no harvest)",0,0
"DE","reserve (no harvest)",10,0
"DE","reserve (no harvest)",20,0
"DE","reserve (no harvest)",30,0
"DE","reserve (no harvest)",40,0
"DE","reserve (no harvest)",50,0
"DE","reserve (no harvest)",60,0
"DE","reserve (no harvest)",70,0
"DE","reserve (no harvest)",80,0
"DE","reserve (no harvest)",90,0
"DE","reserve (no harvest)",100,0
"FL","reserve (no harvest)",0,0
"FL","reserve (no harvest)",10,0
"FL","reserve (no harvest)",20,0
"FL","reserve (no harvest)",30,0
"FL","reserve (no harvest)",40,0
"FL","reserve (no harvest)",50,0
"FL","reserve (no harvest)",60,0
"FL","reserve (no harvest)",70,0
"FL","reserve (no harvest)",80,0
"FL","reserve (no harvest)",90,0
"FL","reserve (no harvest)",100,0
"GA","reserve (no harvest)",0,0
"GA","reserve (no harvest)",10,0
"GA","reserve (no harvest)",20,0
"GA","reserve (no harvest)",30,0
"GA","reserve (no harvest)",40,0
"GA","reserve (no harvest)",50,0
"GA","reserve (no harvest)",60,0
"GA","reserve (no harvest)",70,0
"GA","reserve (no harvest)",80,0
"GA","reserve (no harvest)",90,0
"GA","reserve (no harvest)",100,0
"IA","reserve (no harvest)",0,0
"IA","reserve (no harvest)",10,0
"IA","reserve (no harvest)",20,0
"IA","reserve (no harvest)",30,0
"IA","reserve (no harvest)",40,0
"IA","reserve (no harvest)",50,0
"IA","reserve (no harvest)",60,0
"IA","reserve (no harvest)",70,0
"IA","reserve (no harvest)",80,0
"IA","reserve (no harvest)",90,0
"IA","reserve (no harvest)",100,0
"ID","reserve (no harvest)",0,0
"ID","reserve (no harvest)",10,0
"ID","reserve (no harvest)",20,0
"ID","reserve (no harvest)",30,0
"ID","reserve (no harvest)",40,0
"ID","reserve (no harvest)",50,0
"ID","reserve (no harvest)",60,0
"ID","reserve (no harvest)",70,0
"ID","reserve (no harvest)",80,0
"ID","reserve (no harvest)",90,0
"ID","reserve (no harvest)",100,0
"IL","reserve (no harvest)",0,0
"IL","reserve (no harvest)",10,0
"IL","reserve (no harvest)",20,0
"IL","reserve (no harvest)",30,0
"IL","reserve (no harvest)",40,0
"IL","reserve (no harvest)",50,0
"IL","reserve (no harvest)",60,0
"IL","reserve (no harvest)",70,0
"IL","reserve (no harvest)",80,0
"IL","reserve (no harvest)",90,0
"IL","reserve (no harvest)",100,0
"IN","reserve (no harvest)",0,0
"IN","reserve (no harvest)",10,0
"IN","reserve (no harvest)",20,0
"IN","reserve (no harvest)",30,0
"IN","reserve (no harvest)",40,0
"IN","reserve (no harvest)",50,0
"IN","reserve (no harvest)",60,0
"IN","reserve (no harvest)",70,0
"IN","reserve (no harvest)",80,0
"IN","reserve (no harvest)",90,0
"IN","reserve (no harvest)",100,0
"KS","reserve (no harvest)",0,0
"KS","reserve (no harvest)",10,0
"KS","reserve (no harvest)",20,0
"KS","reserve (no harvest)",30,0
"KS","reserve (no harvest)",40,0
"KS","reserve (no harvest)",50,0
"KS","reserve (no harvest)",60,0
"KS","reserve (no harvest)",70,0
"KS","reserve (no harvest)",80,0
"KS","reserve (no harvest)",90,0
"KS","reserve (no harvest)",100,0
"KY","reserve (no harvest)",0,0
"KY","reserve (no harvest)",10,0
"KY","reserve (no harvest)",20,0
"KY","reserve (no harvest)",30,0
"KY","reserve (no harvest)",40,0
"KY","reserve (no harvest)",50,0
"KY","reserve (no harvest)",60,0
"KY","reserve (no harvest)",70,0
"KY","reserve (no harvest)",80,0
"KY","reserve (no harvest)",90,0
"KY","reserve (no harvest)",100,0
"LA","reserve (no harvest)",0,0
"LA","reserve (no harvest)",10,0
"LA","reserve (no harvest)",20,0
"LA","reserve (no harvest)",30,0
"LA","reserve (no harvest)",40,0
"LA","reserve (no harvest)",50,0
"LA","reserve (no harvest)",60,0
"LA","reserve (no harvest)",70,0
"LA","reserve (no harvest)",80,0
"LA","reserve (no harvest)",90,0
"LA","reserve (no harvest)",100,0
"MA","reserve (no harvest)",0,0
"MA","reserve (no harvest)",10,0
"MA","reserve (no harvest)",20,0
"MA","reserve (no harvest)",30,0
"MA","reserve (no harvest)",40,0
"MA","reserve (no harvest)",50,0
"MA","reserve (no harvest)",60,0
"MA","reserve (no harvest)",70,0
"MA","reserve (no harvest)",80,0
"MA","reserve (no harvest)",90,0
"MA","reserve (no harvest)",100,0
"MD","reserve (no harvest)",0,0
"MD","reserve (no harvest)",10,0
"MD","reserve (no harvest)",20,0
"MD","reserve (no harvest)",30,0
"MD","reserve (no harvest)",40,0
"MD","reserve (no harvest)",50,0
"MD","reserve (no harvest)",60,0
"MD","reserve (no harvest)",70,0
"MD","reserve (no harvest)",80,0
"MD","reserve (no harvest)",90,0
"MD","reserve (no harvest)",100,0
"ME","reserve (no harvest)",0,0
"ME","reserve (no harvest)",10,0
"ME","reserve (no harvest)",20,0
"ME","reserve (no harvest)",30,0
"ME","reserve (no harvest)",40,0
"ME","reserve (no harvest)",50,0
"ME","reserve (no harvest)",60,0
"ME","reserve (no harvest)",70,0
"ME","reserve (no harvest)",80,0
"ME","reserve (no harvest)",90,0
"ME","reserve (no harvest)",100,0
"MI","reserve (no harvest)",0,0
"MI","reserve (no harvest)",10,0
"MI","reserve (no harvest)",20,0
"MI","reserve (no harvest)",30,0
"MI","reserve (no harvest)",40,0
"MI","reserve (no harvest)",50,0
"MI","reserve (no harvest)",60,0
"MI","reserve (no harvest)",70,0
"MI","reserve (no harvest)",80,0
"MI","reserve (no harvest)",90,0
"MI","reserve (no harvest)",100,0
"MN","reserve (no harvest)",0,0
"MN","reserve (no harvest)",10,0
"MN","reserve (no harvest)",20,0
"MN","reserve (no harvest)",30,0
"MN","reserve (no harvest)",40,0
"MN","reserve (no harvest)",50,0
"MN","reserve (no harvest)",60,0
"MN","reserve (no harvest)",70,0
"MN","reserve (no harvest)",80,0
"MN","reserve (no harvest)",90,0
"MN","reserve (no harvest)",100,0
"MO","reserve (no harvest)",0,0
"MO","reserve (no harvest)",10,0
"MO","reserve (no harvest)",20,0
"MO","reserve (no harvest)",30,0
"MO","reserve (no harvest)",40,0
"MO","reserve (no harvest)",50,0
"MO","reserve (no harvest)",60,0
"MO","reserve (no harvest)",70,0
"MO","reserve (no harvest)",80,0
"MO","reserve (no harvest)",90,0
"MO","reserve (no harvest)",100,0
"MS","reserve (no harvest)",0,0
"MS","reserve (no harvest)",10,0
"MS","reserve (no harvest)",20,0
"MS","reserve (no harvest)",30,0
"MS","reserve (no harvest)",40,0
"MS","reserve (no harvest)",50,0
"MS","reserve (no harvest)",60,0
"MS","reserve (no harvest)",70,0
"MS","reserve (no harvest)",80,0
"MS","reserve (no harvest)",90,0
"MS","reserve (no harvest)",100,0
"MT","reserve (no harvest)",0,0
"MT","reserve (no harvest)",10,0
"MT","reserve (no harvest)",20,0
"MT","reserve (no harvest)",30,0
"MT","reserve (no harvest)",40,0
"MT","reserve (no harvest)",50,0
"MT","reserve (no harvest)",60,0
"MT","reserve (no harvest)",70,0
"MT","reserve (no harvest)",80,0
"MT","reserve (no harvest)",90,0
"MT","reserve (no harvest)",100,0
"NC","reserve (no harvest)",0,0
"NC","reserve (no harvest)",10,0
"NC","reserve (no harvest)",20,0
"NC","reserve (no harvest)",30,0
"NC","reserve (no harvest)",40,0
"NC","reserve (no harvest)",50,0
"NC","reserve (no harvest)",60,0
"NC","reserve (no harvest)",70,0
"NC","reserve (no harvest)",80,0
"NC","reserve (no harvest)",90,0
"NC","reserve (no harvest)",100,0
"ND","reserve (no harvest)",0,0
"ND","reserve (no harvest)",10,0
"ND","reserve (no harvest)",20,0
"ND","reserve (no harvest)",30,0
"ND","reserve (no harvest)",40,0
"ND","reserve (no harvest)",50,0
"ND","reserve (no harvest)",60,0
"ND","reserve (no harvest)",70,0
"ND","reserve (no harvest)",80,0
"ND","reserve (no harvest)",90,0
"ND","reserve (no harvest)",100,0
"NE","reserve (no harvest)",0,0
"NE","reserve (no harvest)",10,0
"NE","reserve (no harvest)",20,0
"NE","reserve (no harvest)",30,0
"NE","reserve (no harvest)",40,0
"NE","reserve (no harvest)",50,0
"NE","reserve (no harvest)",60,0
"NE","reserve (no harvest)",70,0
"NE","reserve (no harvest)",80,0
"NE","reserve (no harvest)",90,0
"NE","reserve (no harvest)",100,0
"NH","reserve (no harvest)",0,0
"NH","reserve (no harvest)",10,0
"NH","reserve (no harvest)",20,0
"NH","reserve (no harvest)",30,0
"NH","reserve (no harvest)",40,0
"NH","reserve (no harvest)",50,0
"NH","reserve (no harvest)",60,0
"NH","reserve (no harvest)",70,0
"NH","reserve (no harvest)",80,0
"NH","reserve (no harvest)",90,0
"NH","reserve (no harvest)",100,0
"NJ","reserve (no harvest)",0,0
"NJ","reserve (no harvest)",10,0
"NJ","reserve (no harvest)",20,0
"NJ","reserve (no harvest)",30,0
"NJ","reserve (no harvest)",40,0
"NJ","reserve (no harvest)",50,0
"NJ","reserve (no harvest)",60,0
"NJ","reserve (no harvest)",70,0
"NJ","reserve (no harvest)",80,0
"NJ","reserve (no harvest)",90,0
"NJ","reserve (no harvest)",100,0
"NM","reserve (no harvest)",0,0
"NM","reserve (no harvest)",10,0
"NM","reserve (no harvest)",20,0
"NM","reserve (no harvest)",30,0
"NM","reserve (no harvest)",40,0
"NM","reserve (no harvest)",50,0
"NM","reserve (no harvest)",60,0
"NM","reserve (no harvest)",70,0
"NM","reserve (no harvest)",80,0
"NM","reserve (no harvest)",90,0
"NM","reserve (no harvest)",100,0
"NV","reserve (no harvest)",0,0
"NV","reserve (no harvest)",10,0
"NV","reserve (no harvest)",20,0
"NV","reserve (no harvest)",30,0
"NV","reserve (no harvest)",40,0
"NV","reserve (no harvest)",50,0
"NV","reserve (no harvest)",60,0
"NV","reserve (no harvest)",70,0
"NV","reserve (no harvest)",80,0
"NV","reserve (no harvest)",90,0
"NV","reserve (no harvest)",100,0
"NY","reserve (no harvest)",0,0
"NY","reserve (no harvest)",10,0
"NY","reserve (no harvest)",20,0
"NY","reserve (no harvest)",30,0
"NY","reserve (no harvest)",40,0
"NY","reserve (no harvest)",50,0
"NY","reserve (no harvest)",60,0
"NY","reserve (no harvest)",70,0
"NY","reserve (no harvest)",80,0
"NY","reserve (no harvest)",90,0
"NY","reserve (no harvest)",100,0
"OH","reserve (no harvest)",0,0
"OH","reserve (no harvest)",10,0
"OH","reserve (no harvest)",20,0
"OH","reserve (no harvest)",30,0
"OH","reserve (no harvest)",40,0
"OH","reserve (no harvest)",50,0
"OH","reserve (no harvest)",60,0
"OH","reserve (no harvest)",70,0
"OH","reserve (no harvest)",80,0
"OH","reserve (no harvest)",90,0
"OH","reserve (no harvest)",100,0
"OK","reserve (no harvest)",0,0
"OK","reserve (no harvest)",10,0
"OK","reserve (no harvest)",20,0
"OK","reserve (no harvest)",30,0
"OK","reserve (no harvest)",40,0
"OK","reserve (no harvest)",50,0
"OK","reserve (no harvest)",60,0
"OK","reserve (no harvest)",70,0
"OK","reserve (no harvest)",80,0
"OK","reserve (no harvest)",90,0
"OK","reserve (no harvest)",100,0
"OR","reserve (no harvest)",0,0
"OR","reserve (no harvest)",10,0
"OR","reserve (no harvest)",20,0
"OR","reserve (no harvest)",30,0
"OR","reserve (no harvest)",40,0
"OR","reserve (no harvest)",50,0
"OR","reserve (no harvest)",60,0
"OR","reserve (no harvest)",70,0
"OR","reserve (no harvest)",80,0
"OR","reserve (no harvest)",90,0
"OR","reserve (no harvest)",100,0
"PA","reserve (no harvest)",0,0
"PA","reserve (no harvest)",10,0
"PA","reserve (no harvest)",20,0
"PA","reserve (no harvest)",30,0
"PA","reserve (no harvest)",40,0
"PA","reserve (no harvest)",50,0
"PA","reserve (no harvest)",60,0
"PA","reserve (no harvest)",70,0
"PA","reserve (no harvest)",80,0
"PA","reserve (no harvest)",90,0
"PA","reserve (no harvest)",100,0
"RI","reserve (no harvest)",0,0
"RI","reserve (no harvest)",10,0
"RI","reserve (no harvest)",20,0
"RI","reserve (no harvest)",30,0
"RI","reserve (no harvest)",40,0
"RI","reserve (no harvest)",50,0
"RI","reserve (no harvest)",60,0
"RI","reserve (no harvest)",70,0
"RI","reserve (no harvest)",80,0
"RI","reserve (no harvest)",90,0
"RI","reserve (no harvest)",100,0
"SC","reserve (no harvest)",0,0
"SC","reserve (no harvest)",10,0
"SC","reserve (no harvest)",20,0
"SC","reserve (no harvest)",30,0
"SC","reserve (no harvest)",40,0
"SC","reserve (no harvest)",50,0
"SC","reserve (no harvest)",60,0
"SC","reserve (no harvest)",70,0
"SC","reserve (no harvest)",80,0
"SC","reserve (no harvest)",90,0
"SC","reserve (no harvest)",100,0
"SD","reserve (no harvest)",0,0
"SD","reserve (no harvest)",10,0
"SD","reserve (no harvest)",20,0
"SD","reserve (no harvest)",30,0
"SD","reserve (no harvest)",40,0
"SD","reserve (no harvest)",50,0
"SD","reserve (no harvest)",60,0
"SD","reserve (no harvest)",70,0
"SD","reserve (no harvest)",80,0
"SD","reserve (no harvest)",90,0
"SD","reserve (no harvest)",100,0
"TN","reserve (no harvest)",0,0
"TN","reserve (no harvest)",10,0
"TN","reserve (no harvest)",20,0
"TN","reserve (no harvest)",30,0
"TN","reserve (no harvest)",40,0
"TN","reserve (no harvest)",50,0
"TN","reserve (no harvest)",60,0
"TN","reserve (no harvest)",70,0
"TN","reserve (no harvest)",80,0
"TN","reserve (no harvest)",90,0
"TN","reserve (no harvest)",100,0
"TX","reserve (no harvest)",0,0
"TX","reserve (no harvest)",10,0
"TX","reserve (no harvest)",20,0
"TX","reserve (no harvest)",30,0
"TX","reserve (no harvest)",40,0
"TX","reserve (no harvest)",50,0
"TX","reserve (no harvest)",60,0
"TX","reserve (no harvest)",70,0
"TX","reserve (no harvest)",80,0
"TX","reserve (no harvest)",90,0
"TX","reserve (no harvest)",100,0
"UT","reserve (no harvest)",0,0
"UT","reserve (no harvest)",10,0
"UT","reserve (no harvest)",20,0
"UT","reserve (no harvest)",30,0
"UT","reserve (no harvest)",40,0
"UT","reserve (no harvest)",50,0
"UT","reserve (no harvest)",60,0
"UT","reserve (no harvest)",70,0
"UT","reserve (no harvest)",80,0
"UT","reserve (no harvest)",90,0
"UT","reserve (no harvest)",100,0
"VA","reserve (no harvest)",0,0
"VA","reserve (no harvest)",10,0
"VA","reserve (no harvest)",20,0
"VA","reserve (no harvest)",30,0
"VA","reserve (no harvest)",40,0
"VA","reserve (no harvest)",50,0
"VA","reserve (no harvest)",60,0
"VA","reserve (no harvest)",70,0
"VA","reserve (no harvest)",80,0
"VA","reserve (no harvest)",90,0
"VA","reserve (no harvest)",100,0
"VT","reserve (no harvest)",0,0
"VT","reserve (no harvest)",10,0
"VT","reserve (no harvest)",20,0
"VT","reserve (no harvest)",30,0
"VT","reserve (no harvest)",40,0
"VT","reserve (no harvest)",50,0
"VT","reserve (no harvest)",60,0
"VT","reserve (no harvest)",70,0
"VT","reserve (no harvest)",80,0
"VT","reserve (no harvest)",90,0
"VT","reserve (no harvest)",100,0
"WA","reserve (no harvest)",0,0
"WA","reserve (no harvest)",10,0
"WA","reserve (no harvest)",20,0
"WA","reserve (no harvest)",30,0
"WA","reserve (no harvest)",40,0
"WA","reserve (no harvest)",50,0
"WA","reserve (no harvest)",60,0
"WA","reserve (no harvest)",70,0
"WA","reserve (no harvest)",80,0
"WA","reserve (no harvest)",90,0
"WA","reserve (no harvest)",100,0
"WI","reserve (no harvest)",0,0
"WI","reserve (no harvest)",10,0
"WI","reserve (no harvest)",20,0
"WI","reserve (no harvest)",30,0
"WI","reserve (no harvest)",40,0
"WI","reserve (no harvest)",50,0
"WI","reserve (no harvest)",60,0
"WI","reserve (no harvest)",70,0
"WI","reserve (no harvest)",80,0
"WI","reserve (no harvest)",90,0
"WI","reserve (no harvest)",100,0
"WV","reserve (no harvest)",0,0
"WV","reserve (no harvest)",10,0
"WV","reserve (no harvest)",20,0
"WV","reserve (no harvest)",30,0
"WV","reserve (no harvest)",40,0
"WV","reserve (no harvest)",50,0
"WV","reserve (no harvest)",60,0
"WV","reserve (no harvest)",70,0
"WV","reserve (no harvest)",80,0
"WV","reserve (no harvest)",90,0
"WV","reserve (no harvest)",100,0
"WY","reserve (no harvest)",0,0
"WY","reserve (no harvest)",10,0
"WY","reserve (no harvest)",20,0
"WY","reserve (no harvest)",30,0
"WY","reserve (no harvest)",40,0
"WY","reserve (no harvest)",50,0
"WY","reserve (no harvest)",60,0
"WY","reserve (no harvest)",70,0
"WY","reserve (no harvest)",80,0
"WY","reserve (no harvest)",90,0
"WY","reserve (no harvest)",100,0
"AL","managed (harvest)",0,0
"AL","managed (harvest)",10,41.179
"AL","managed (harvest)",20,77.963
"AL","managed (harvest)",30,119.877
"AL","managed (harvest)",40,151.06
"AL","managed (harvest)",50,180.603
"AL","managed (harvest)",60,206.789
"AL","managed (harvest)",70,236.737
"AL","managed (harvest)",80,257.645
"AL","managed (harvest)",90,273.702
"AL","managed (harvest)",100,290.225
"AR","managed (harvest)",0,0
"AR","managed (harvest)",10,28.336
"AR","managed (harvest)",20,55.994
"AR","managed (harvest)",30,81.704
"AR","managed (harvest)",40,110.128
"AR","managed (harvest)",50,128.044
"AR","managed (harvest)",60,145.86
"AR","managed (harvest)",70,162.699
"AR","managed (harvest)",80,181.021
"AR","managed (harvest)",90,191.989
"AR","managed (harvest)",100,202.175
"AZ","managed (harvest)",0,0
"AZ","managed (harvest)",10,3.036
"AZ","managed (harvest)",20,6.378
"AZ","managed (harvest)",30,9.459
"AZ","managed (harvest)",40,11.871
"AZ","managed (harvest)",50,14.846
"AZ","managed (harvest)",60,17.342
"AZ","managed (harvest)",70,19.488
"AZ","managed (harvest)",80,21.89
"AZ","managed (harvest)",90,24.075
"AZ","managed (harvest)",100,25.707
"CA","managed (harvest)",0,0
"CA","managed (harvest)",10,32.218
"CA","managed (harvest)",20,59.476
"CA","managed (harvest)",30,85.689
"CA","managed (harvest)",40,113.269
"CA","managed (harvest)",50,134.122
"CA","managed (harvest)",60,151.84
"CA","managed (harvest)",70,171.977
"CA","managed (harvest)",80,192.154
"CA","managed (harvest)",90,209.155
"CA","managed (harvest)",100,222.664
"CO","managed (harvest)",0,0
"CO","managed (harvest)",10,10.881
"CO","managed (harvest)",20,19.988
"CO","managed (harvest)",30,29.084
"CO","managed (harvest)",40,36.357
"CO","managed (harvest)",50,43.587
"CO","managed (harvest)",60,50.711
"CO","managed (harvest)",70,56.741
"CO","managed (harvest)",80,63.539
"CO","managed (harvest)",90,68.514
"CO","managed (harvest)",100,73.093
"CT","managed (harvest)",0,0
"CT","managed (harvest)",10,1.449
"CT","managed (harvest)",20,3.783
"CT","managed (harvest)",30,5.046
"CT","managed (harvest)",40,6.75
"CT","managed (harvest)",50,7.417
"CT","managed (harvest)",60,8.519
"CT","managed (harvest)",70,9.19
"CT","managed (harvest)",80,9.916
"CT","managed (harvest)",90,10.257
"CT","managed (harvest)",100,10.688
"DE","managed (harvest)",0,0
"DE","managed (harvest)",10,1.339
"DE","managed (harvest)",20,2.289
"DE","managed (harvest)",30,3.572
"DE","managed (harvest)",40,4.323
"DE","managed (harvest)",50,5.17
"DE","managed (harvest)",60,5.79
"DE","managed (harvest)",70,6.707
"DE","managed (harvest)",80,7.196
"DE","managed (harvest)",90,7.764
"DE","managed (harvest)",100,8.169
"FL","managed (harvest)",0,0
"FL","managed (harvest)",10,14.698
"FL","managed (harvest)",20,28.796
"FL","managed (harvest)",30,43.539
"FL","managed (harvest)",40,57.063
"FL","managed (harvest)",50,66.961
"FL","managed (harvest)",60,75.463
"FL","managed (harvest)",70,86.463
"FL","managed (harvest)",80,96.024
"FL","managed (harvest)",90,102.038
"FL","managed (harvest)",100,108.061
"GA","managed (harvest)",0,0
"GA","managed (harvest)",10,22.226
"GA","managed (harvest)",20,54.842
"GA","managed (harvest)",30,78.592
"GA","managed (harvest)",40,107.524
"GA","managed (harvest)",50,123.486
"GA","managed (harvest)",60,146.488
"GA","managed (harvest)",70,162.725
"GA","managed (harvest)",80,176.975
"GA","managed (harvest)",90,182.737
"GA","managed (harvest)",100,194.191
"IA","managed (harvest)",0,0
"IA","managed (harvest)",10,2.828
"IA","managed (harvest)",20,7.029
"IA","managed (harvest)",30,9.198
"IA","managed (harvest)",40,10.851
"IA","managed (harvest)",50,12.587
"IA","managed (harvest)",60,14.658
"IA","managed (harvest)",70,15.972
"IA","managed (harvest)",80,16.317
"IA","managed (harvest)",90,16.933
"IA","managed (harvest)",100,18.263
"ID","managed (harvest)",0,0
"ID","managed (harvest)",10,16.341
"ID","managed (harvest)",20,28.951
"ID","managed (harvest)",30,39.378
"ID","managed (harvest)",40,52.617
"ID","managed (harvest)",50,63.953
"ID","managed (harvest)",60,72.473
"ID","managed (harvest)",70,82.986
"ID","managed (harvest)",80,91.501
"ID","managed (harvest)",90,98.771
"ID","managed (harvest)",100,105.261
"IL","managed (harvest)",0,0
"IL","managed (harvest)",10,6.771
"IL","managed (harvest)",20,12.77
"IL","managed (harvest)",30,16.924
"IL","managed (harvest)",40,21.531
"IL","managed (harvest)",50,24.123
"IL","managed (harvest)",60,26.819
"IL","managed (harvest)",70,29.115
"IL","managed (harvest)",80,30.2
"IL","managed (harvest)",90,31.897
"IL","managed (harvest)",100,32.834
"IN","managed (harvest)",0,0
"IN","managed (harvest)",10,9.548
"IN","managed (harvest)",20,17.046
"IN","managed (harvest)",30,24.894
"IN","managed (harvest)",40,31.498
"IN","managed (harvest)",50,37.459
"IN","managed (harvest)",60,42.4
"IN","managed (harvest)",70,46.179
"IN","managed (harvest)",80,48.968
"IN","managed (harvest)",90,50.836
"IN","managed (harvest)",100,52.856
"KS","managed (harvest)",0,0
"KS","managed (harvest)",10,0.519
"KS","managed (harvest)",20,0.929
"KS","managed (harvest)",30,1.468
"KS","managed (harvest)",40,1.735
"KS","managed (harvest)",50,2.013
"KS","managed (harvest)",60,2.314
"KS","managed (harvest)",70,2.495
"KS","managed (harvest)",80,2.624
"KS","managed (harvest)",90,2.702
"KS","managed (harvest)",100,2.842
"KY","managed (harvest)",0,0
"KY","managed (harvest)",10,22.263
"KY","managed (harvest)",20,45.482
"KY","managed (harvest)",30,60.894
"KY","managed (harvest)",40,74.46
"KY","managed (harvest)",50,87.828
"KY","managed (harvest)",60,98.017
"KY","managed (harvest)",70,104.877
"KY","managed (harvest)",80,109.456
"KY","managed (harvest)",90,116.357
"KY","managed (harvest)",100,120.472
"LA","managed (harvest)",0,0
"LA","managed (harvest)",10,20.028
"LA","managed (harvest)",20,39.168
"LA","managed (harvest)",30,62.934
"LA","managed (harvest)",40,78.952
"LA","managed (harvest)",50,94.303
"LA","managed (harvest)",60,111.234
"LA","managed (harvest)",70,129.31
"LA","managed (harvest)",80,140.29
"LA","managed (harvest)",90,149.772
"LA","managed (harvest)",100,160.788
"MA","managed (harvest)",0,0
"MA","managed (harvest)",10,4.815
"MA","managed (harvest)",20,7.512
"MA","managed (harvest)",30,10.332
"MA","managed (harvest)",40,12.299
"MA","managed (harvest)",50,13.894
"MA","managed (harvest)",60,16.335
"MA","managed (harvest)",70,17.708
"MA","managed (harvest)",80,18.844
"MA","managed (harvest)",90,19.899
"MA","managed (harvest)",100,20.487
"MD","managed (harvest)",0,0
"MD","managed (harvest)",10,4.358
"MD","managed (harvest)",20,7.639
"MD","managed (harvest)",30,12.027
"MD","managed (harvest)",40,15.215
"MD","managed (harvest)",50,16.792
"MD","managed (harvest)",60,18.579
"MD","managed (harvest)",70,22.177
"MD","managed (harvest)",80,24.125
"MD","managed (harvest)",90,24.832
"MD","managed (harvest)",100,25.399
"ME","managed (harvest)",0,0
"ME","managed (harvest)",10,28.918
"ME","managed (harvest)",20,54.798
"ME","managed (harvest)",30,73.514
"ME","managed (harvest)",40,92.386
"ME","managed (harvest)",50,112.412
"ME","managed (harvest)",60,130.58
"ME","managed (harvest)",70,143.332
"ME","managed (harvest)",80,155.76
"ME","managed (harvest)",90,170.531
"ME","managed (harvest)",100,183.69
"MI","managed (harvest)",0,0
"MI","managed (harvest)",10,24.355
"MI","managed (harvest)",20,46.719
"MI","managed (harvest)",30,65.135
"MI","managed (harvest)",40,82.888
"MI","managed (harvest)",50,99.074
"MI","managed (harvest)",60,113.764
"MI","managed (harvest)",70,126.654
"MI","managed (harvest)",80,138.561
"MI","managed (harvest)",90,147.766
"MI","managed (harvest)",100,156.955
"MN","managed (harvest)",0,0
"MN","managed (harvest)",10,17.018
"MN","managed (harvest)",20,29.738
"MN","managed (harvest)",30,41.973
"MN","managed (harvest)",40,53.322
